ID,Algoritmo,FuncaoCusto,Heuristica,CustoTotal,Visitados,Gerados,TamanhoCaminho
26,A*,C3,H2,56,3561,5475,22
26,A*,C4,H1,62,14340,21606,22
26,A*,C4,H2,62,3446,5334,22
27,CustoUniforme,C1,-,34,12809,20175,17
27,CustoUniforme,C2,-,41,13443,20716,17
27,CustoUniforme,C3,-,43,17607,25493,17
27,CustoUniforme,C4,-,50,16063,23956,17
27,A*,C1,H1,34,1484,2398,17
27,A*,C1,H2,34,414,677,17
27,A*,C2,H1,41,1710,2686,17
27,A*,C2,H2,41,499,794,17
27,A*,C3,H1,43,2258,3704,17
27,A*,C3,H2,43,645,1062,17
27,A*,C4,H1,50,2670,4255,17
27,A*,C4,H2,50,882,1413,17
28,CustoUniforme,C1,-,38,37311,52377,19
28,CustoUniforme,C2,-,46,33476,47135,19
28,CustoUniforme,C3,-,49,44404,63411,19
28,CustoUniforme,C4,-,54,34946,48679,19
28,A*,C1,H1,38,3660,5807,19
28,A*,C1,H2,38,407,654,19
28,A*,C2,H1,46,4077,6644,19
28,A*,C2,H2,46,781,1282,19
28,A*,C3,H1,49,7461,11459,19
28,A*,C3,H2,49,1407,2259,19
28,A*,C4,H1,54,6471,10020,19
28,A*,C4,H2,54,1543,2448,19
29,CustoUniforme,C1,-,34,19309,29231,17
29,CustoUniforme,C2,-,42,17794,26793,17
29,CustoUniforme,C3,-,43,18610,28245,17
29,CustoUniforme,C4,-,50,20774,30477,17
29,A*,C1,H1,34,1590,2587,17
29,A*,C1,H2,34,342,572,17
29,A*,C2,H1,42,2124,3527,17
29,A*,C2,H2,42,560,921,17
29,A*,C3,H1,43,2652,4164,17
29,A*,C3,H2,43,666,1061,17
29,A*,C4,H1,50,3677,5771,17
29,A*,C4,H2,50,1110,1781,17
30,CustoUniforme,C1,-,36,28500,42382,18
30,CustoUniforme,C2,-,46,29117,42952,18
30,CustoUniforme,C3,-,44,20216,29373,18
30,CustoUniforme,C4,-,53,24120,35246,18
30,A*,C1,H1,36,1876,3014,18
30,A*,C1,H2,36,240,396,18
30,A*,C2,H1,46,3558,5850,18
30,A*,C2,H2,46,712,1196,18
30,A*,C3,H1,44,2431,3854,18
30,A*,C3,H2,44,462,741,18
30,A*,C4,H1,53,3898,6108,18
30,A*,C4,H2,53,965,1536,18
